PUSHBUTTON_TYPE,INTERSECTION_ID,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_DATE,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID,LONGITUDE,LATITUDE
None,,1,2030,2016,ADA_APSPt_1027,1471291611000,1719520978000,,{6F3E2314-EF73-46D6-B21A-0DF89C2AC0B8},1027,-77.02183127173308,38.91122418143923
Type A : Old version (non-compliant),,1,2030,2016,ADA_APSPt_1028,1470866148000,1719520978000,,{2A0ADE2F-B4AC-4E26-ACB8-DDF110EDB286},1028,-76.96350181935833,38.93515788004934
None,,1,2030,2016,ADA_APSPt_1029,1474012630000,1719520978000,,{48B7A4E0-1190-4AD6-9C06-97998013C32B},1029,-77.08859279237646,38.91634838298757
None,,1,2030,2016,ADA_APSPt_1030,1471626095000,1719520978000,,{160F7C3C-FFD1-47BC-A98C-9750AAF54D1C},1030,-77.00738937726119,38.91705902643496
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_1031,,1719520978000,,{B1EE96E0-AD74-4360-AF36-E07E3E20D03D},1031,-76.96770680307844,38.87215840751211
None,,1,2030,2016,ADA_APSPt_1032,1473359963000,1719520978000,,{7E8EDE20-163E-4E75-B435-556FD8F33F15},1032,-77.06879498199874,38.90498526146264
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_1033,1473796602000,1719520978000,,{B815BD0E-0A25-48C8-8DC5-186FB4CFE5AB},1033,-77.04506227464213,38.91512847387322
None,,1,2030,2016,ADA_APSPt_1034,1473192981000,1719520978000,,{D7D8F524-F8FF-46C5-BB3E-DC23B83E5313},1034,-76.97327838423165,38.87211568126516
None,,1,2030,2016,ADA_APSPt_1035,1474014500000,1719520978000,,{6B91542C-7574-41FA-9914-27B7BB903A6F},1035,-77.01907008766584,38.89989976348808
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_1036,1469648452000,1719520978000,,{493419A9-46CF-4510-9C20-9C4241A59A1C},1036,-77.05263570118294,38.96143371539959
None,,1,2030,2016,ADA_APSPt_1037,1471290838000,1719520978000,,{E81560F3-6E49-4B06-AD15-E66A616D8CF8},1037,-77.00358206753128,38.89537339668462
None,,1,2030,2016,ADA_APSPt_1038,1471883868000,1719520978000,,{6ACF0046-9FC7-4E2F-A919-F58B35DB2A7A},1038,-77.00882496483041,38.91104144211014
None,,1,2030,2016,ADA_APSPt_1039,1471641963000,1719520978000,,{8C0738DC-125A-4BE3-B742-B468B5988DE5},1039,-76.98542905481324,38.88776354448945
None,,1,2030,2016,ADA_APSPt_1040,1472197456000,1719520978000,,{82320146-DD0F-4607-9910-5D7773FA16D5},1040,-77.00915599172708,38.89626115012236
None,,1,2030,2016,ADA_APSPt_1041,,1719520978000,,{6A48EDC4-1924-416B-9AA8-695E0CC250E2},1041,-77.02872029837955,38.90983341439951
None,,1,2030,2016,ADA_APSPt_1042,1470435966000,1719520978000,,{1BA0E290-C55A-450A-B9B7-00450CE17C0E},1042,-76.9851851781361,38.833974413314095
